language,model,all_feats,p (0),r (0),f1 (0),p (1),r (1),f1 (1),p (macro),r (macro),f1 (macro),acc,dim. training set,dim. test set
italian,LR,relationformVERB deprelneg deprel Sidorovbigramsform ngram,0.705,0.586,0.640,0.644,0.754,0.695,0.675,0.670,0.668,0.670,3977,872
english,RF,deprel chargrams relationformADJ Sidorovbigramsform relationformNOUN,0.751,0.693,0.721,0.582,0.650,0.614,0.666,0.671,0.667,0.676,3834,784
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB relationformNOUN,0.673,0.655,0.664,0.662,0.681,0.671,0.668,0.668,0.667,0.667,3977,872
english,RF,ngrams Sidorovbigramsdeprel deprel chargrams relationformNOUN,0.747,0.704,0.725,0.586,0.637,0.610,0.666,0.670,0.667,0.677,3834,784
italian,RF,deprel relationformVERB chargram,0.706,0.584,0.639,0.644,0.756,0.696,0.675,0.670,0.667,0.670,3977,872
italian,RF,ngrams Sidorovbigramsform deprel deprelneg chargram,0.706,0.584,0.639,0.644,0.756,0.696,0.675,0.670,0.667,0.670,3977,872
italian,RF,ngrams Sidorovbigramsform deprel relationformVERB deprelneg chargrams relationformNOUN,0.695,0.604,0.646,0.648,0.733,0.688,0.672,0.669,0.667,0.669,3977,872
italian,RF,relationformADJ ngrams deprelneg chargram,0.695,0.604,0.646,0.648,0.733,0.688,0.672,0.669,0.667,0.669,3977,872
english,RF,ngrams relationformVERB chargrams Sidorovbigramsform,0.737,0.734,0.735,0.597,0.601,0.599,0.667,0.667,0.667,0.681,3834,784
italian,RF,relationformADJ ngrams deprel relationformVERB relationformNOUN,0.661,0.691,0.676,0.675,0.644,0.659,0.668,0.667,0.667,0.667,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel relationformVERB chargram,0.697,0.600,0.645,0.647,0.738,0.690,0.672,0.669,0.667,0.669,3977,872
english,RF,ngrams deprel chargrams relationformADJ relationformNOUN,0.746,0.706,0.725,0.586,0.633,0.609,0.666,0.670,0.667,0.677,3834,784
english,RF,ngrams relationformVERB deprel chargrams relationformADJ relationformNOUN,0.746,0.706,0.725,0.586,0.633,0.609,0.666,0.670,0.667,0.677,3834,784
english,RF,ngrams relationformVERB deprel chargrams relationformNOUN,0.742,0.717,0.729,0.590,0.621,0.605,0.666,0.669,0.667,0.679,3834,784
english,RF,ngrams relationformVERB deprelneg Sidorovbigramsdeprel Sidorovbigramsupostag chargrams relationformADJ relationformNOUN,0.742,0.717,0.729,0.590,0.621,0.605,0.666,0.669,0.667,0.679,3834,784
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB chargram,0.698,0.597,0.644,0.647,0.740,0.690,0.672,0.669,0.667,0.669,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel Sidorovbigramsupostag relationformNOUN,0.683,0.627,0.654,0.654,0.708,0.680,0.669,0.668,0.667,0.667,3977,872
english,RF,ngrams deprelneg Sidorovbigramsdeprel Sidorovbigramsupostag chargrams relationformADJ Sidorovbigramsform,0.748,0.698,0.722,0.583,0.643,0.612,0.666,0.670,0.667,0.676,3834,784
italian,LR,relationformVERB chargrams Sidorovbigramsupostag ngram,0.711,0.574,0.635,0.642,0.766,0.698,0.676,0.670,0.667,0.670,3977,872
italian,LR,relationformVERB deprelneg deprel relationformNOUN chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag,0.711,0.574,0.635,0.642,0.766,0.698,0.676,0.670,0.667,0.670,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform deprel Sidorovbigramsupostag chargrams relationformNOUN,0.700,0.593,0.642,0.645,0.745,0.692,0.673,0.669,0.667,0.669,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel deprel deprelneg chargram,0.700,0.593,0.642,0.645,0.745,0.692,0.673,0.669,0.667,0.669,3977,872
english,RF,ngrams relationformVERB deprelneg Sidorovbigramsdeprel deprel chargrams relationformNOUN,0.757,0.677,0.714,0.576,0.669,0.619,0.666,0.673,0.667,0.674,3834,784
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel relationformVERB deprelneg relationformNOUN,0.688,0.616,0.650,0.651,0.720,0.683,0.669,0.668,0.667,0.667,3977,872
italian,RF,relationformADJ Sidorovbigramsform deprel chargram,0.701,0.590,0.641,0.645,0.747,0.692,0.673,0.669,0.667,0.669,3977,872
italian,LR,relationformVERB deprelneg deprel relationformNOUN chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel ngram,0.712,0.572,0.635,0.641,0.768,0.699,0.677,0.670,0.667,0.670,3977,872
italian,LR,relationformVERB deprelneg deprel relationformNOUN chargrams Sidorovbigramsform Sidorovbigramsdeprel ngram,0.712,0.572,0.635,0.641,0.768,0.699,0.677,0.670,0.667,0.670,3977,872
italian,RF,Sidorovbigramsdeprel Sidorovbigramsupostag chargrams relationformNOUN,0.688,0.616,0.650,0.651,0.720,0.683,0.669,0.668,0.667,0.667,3977,872
english,RF,ngrams relationformVERB deprel Sidorovbigramsupostag chargrams relationformADJ relationformNOUN,0.747,0.700,0.723,0.584,0.640,0.610,0.665,0.670,0.667,0.676,3834,784
italian,LR,deprelneg deprel relationformNOUN chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag ngram,0.714,0.570,0.634,0.641,0.770,0.699,0.677,0.670,0.667,0.670,3977,872
english,RF,ngrams Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargrams relationformADJ Sidorovbigramsform relationformNOUN,0.751,0.689,0.719,0.580,0.653,0.614,0.666,0.671,0.667,0.675,3834,784
english,RF,Sidorovbigramsdeprel deprel chargrams relationformADJ Sidorovbigramsform relationformNOUN,0.751,0.689,0.719,0.580,0.653,0.614,0.666,0.671,0.667,0.675,3834,784
italian,LR,relationformVERB deprel Sidorovbigramsform relationformADJ ngram,0.703,0.586,0.639,0.644,0.752,0.694,0.674,0.669,0.666,0.669,3977,872
italian,LR,relationformVERB deprelneg deprel Sidorovbigramsform relationformADJ ngram,0.703,0.586,0.639,0.644,0.752,0.694,0.674,0.669,0.666,0.669,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel,0.703,0.586,0.639,0.644,0.752,0.694,0.674,0.669,0.666,0.669,3977,872
english,RF,ngrams relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformADJ relationformNOUN,0.740,0.721,0.730,0.591,0.614,0.603,0.666,0.668,0.666,0.679,3834,784
english,RF,deprelneg deprel Sidorovbigramsupostag chargrams relationformNOUN,0.746,0.702,0.723,0.584,0.637,0.609,0.665,0.669,0.666,0.676,3834,784
english,RF,deprelneg Sidorovbigramsdeprel Sidorovbigramsupostag chargrams Sidorovbigramsform relationformNOUN,0.746,0.702,0.723,0.584,0.637,0.609,0.665,0.669,0.666,0.676,3834,784
italian,RF,deprel relationformVERB chargrams relationformNOUN,0.691,0.609,0.647,0.649,0.726,0.686,0.670,0.668,0.666,0.667,3977,872
italian,SVC,relationformADJ deprel ngrams deprelneg relationformVERB relationformNOUN,0.691,0.609,0.647,0.649,0.726,0.686,0.670,0.668,0.666,0.667,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel deprel deprelneg,0.671,0.657,0.664,0.662,0.676,0.669,0.666,0.666,0.666,0.666,3977,872
italian,LR,relationformVERB chargrams Sidorovbigramsform relationformADJ Sidorovbigramsupostag ngram,0.715,0.568,0.633,0.640,0.772,0.700,0.677,0.670,0.666,0.670,3977,872
italian,LR,relationformVERB deprel relationformNOUN chargrams Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag ngram,0.715,0.568,0.633,0.640,0.772,0.700,0.677,0.670,0.666,0.670,3977,872
italian,LR,relationformVERB deprel relationformNOUN relationformADJ Sidorovbigramsupostag ngram,0.691,0.609,0.647,0.649,0.726,0.686,0.670,0.668,0.666,0.667,3977,872
italian,LR,relationformVERB deprelneg deprel relationformNOUN relationformADJ Sidorovbigramsupostag ngram,0.691,0.609,0.647,0.649,0.726,0.686,0.670,0.668,0.666,0.667,3977,872
english,RF,relationformVERB chargrams Sidorovbigramsform,0.746,0.702,0.723,0.584,0.637,0.609,0.665,0.669,0.666,0.676,3834,784
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel deprelneg chargrams relationformNOUN,0.693,0.604,0.646,0.648,0.731,0.687,0.670,0.668,0.666,0.667,3977,872
italian,RF,relationformADJ relationformVERB deprelneg chargram,0.704,0.584,0.638,0.643,0.754,0.694,0.674,0.669,0.666,0.669,3977,872
italian,RF,relationformADJ Sidorovbigramsform deprel relationformVERB Sidorovbigramsupostag,0.671,0.655,0.663,0.661,0.678,0.670,0.666,0.666,0.666,0.666,3977,872
italian,RF,relationformADJ relationformVERB Sidorovbigramsupostag,0.676,0.641,0.658,0.657,0.692,0.674,0.667,0.666,0.666,0.666,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform deprelneg Sidorovbigramsupostag chargram,0.717,0.563,0.631,0.639,0.777,0.701,0.678,0.670,0.666,0.670,3977,872
italian,LR,relationformVERB deprel chargrams Sidorovbigramsform Sidorovbigramsdeprel ngram,0.707,0.579,0.637,0.642,0.759,0.696,0.674,0.669,0.666,0.669,3977,872
italian,LR,relationformVERB deprelneg deprel chargrams Sidorovbigramsform Sidorovbigramsdeprel ngram,0.707,0.579,0.637,0.642,0.759,0.696,0.674,0.669,0.666,0.669,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB deprelneg Sidorovbigramsupostag,0.678,0.636,0.656,0.656,0.697,0.676,0.667,0.666,0.666,0.666,3977,872
english,RF,ngrams relationformVERB deprelneg deprel Sidorovbigramsupostag chargrams relationformNOUN,0.745,0.704,0.724,0.585,0.633,0.608,0.665,0.669,0.666,0.676,3834,784
english,RF,relationformVERB deprelneg chargrams relationformNOUN,0.749,0.693,0.720,0.581,0.646,0.612,0.665,0.670,0.666,0.675,3834,784
english,RF,relationformVERB deprelneg Sidorovbigramsdeprel deprel chargrams relationformADJ Sidorovbigramsform,0.749,0.693,0.720,0.581,0.646,0.612,0.665,0.670,0.666,0.675,3834,784
italian,RF,relationformADJ ngrams deprel relationformVERB chargram,0.696,0.597,0.643,0.646,0.738,0.689,0.671,0.668,0.666,0.667,3977,872
italian,RF,Sidorovbigramsform relationformVERB chargram,0.696,0.597,0.643,0.646,0.738,0.689,0.671,0.668,0.666,0.667,3977,872
italian,RF,ngrams deprel relationformVERB Sidorovbigramsupostag relationformNOUN,0.683,0.625,0.652,0.653,0.708,0.679,0.668,0.666,0.666,0.666,3977,872
italian,RF,ngrams Sidorovbigramsform deprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.697,0.595,0.642,0.645,0.740,0.690,0.671,0.668,0.666,0.667,3977,872
english,RF,ngrams deprelneg chargrams relationformADJ Sidorovbigramsform relationformNOUN,0.744,0.706,0.725,0.585,0.630,0.607,0.665,0.668,0.666,0.676,3834,784
english,RF,ngrams Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargrams Sidorovbigramsform relationformNOUN,0.748,0.696,0.721,0.581,0.643,0.611,0.665,0.669,0.666,0.675,3834,784
english,RF,relationformVERB deprelneg chargrams relationformADJ,0.738,0.725,0.731,0.593,0.608,0.600,0.665,0.666,0.666,0.679,3834,784
english,RF,relationformVERB deprelneg Sidorovbigramsdeprel deprel chargrams Sidorovbigramsform relationformNOUN,0.748,0.696,0.721,0.581,0.643,0.611,0.665,0.669,0.666,0.675,3834,784
english,RF,relationformVERB deprelneg Sidorovbigramsdeprel Sidorovbigramsupostag chargrams Sidorovbigramsform,0.752,0.685,0.717,0.578,0.656,0.615,0.665,0.670,0.666,0.674,3834,784
italian,LR,relationformVERB deprel relationformNOUN chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag,0.710,0.572,0.634,0.640,0.766,0.697,0.675,0.669,0.666,0.669,3977,872
italian,LR,relationformVERB deprelneg chargrams Sidorovbigramsupostag ngram,0.710,0.572,0.634,0.640,0.766,0.697,0.675,0.669,0.666,0.669,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.686,0.616,0.649,0.650,0.717,0.682,0.668,0.666,0.666,0.666,3977,872
italian,LR,relationformVERB deprelneg Sidorovbigramsupostag ngram,0.699,0.590,0.640,0.644,0.745,0.691,0.672,0.668,0.666,0.667,3977,872
italian,LR,relationformVERB Sidorovbigramsupostag ngram,0.699,0.590,0.640,0.644,0.745,0.691,0.672,0.668,0.666,0.667,3977,872
english,RF,ngrams Sidorovbigramsdeprel deprel chargrams relationformADJ Sidorovbigramsform,0.740,0.717,0.728,0.589,0.617,0.603,0.665,0.667,0.666,0.677,3834,784
italian,RF,relationformADJ ngrams deprel relationformVERB deprelneg,0.652,0.716,0.683,0.684,0.616,0.648,0.668,0.666,0.665,0.666,3977,872
italian,RF,relationformADJ Sidorovbigramsform relationformVERB deprelneg chargrams relationformNOUN,0.700,0.588,0.639,0.644,0.747,0.692,0.672,0.668,0.665,0.667,3977,872
italian,LR,relationformVERB deprelneg chargrams relationformADJ Sidorovbigramsupostag ngram,0.711,0.570,0.633,0.640,0.768,0.698,0.676,0.669,0.665,0.669,3977,872
english,RF,ngrams relationformVERB deprelneg Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargrams Sidorovbigramsform,0.747,0.698,0.721,0.582,0.640,0.610,0.664,0.669,0.665,0.675,3834,784
english,RF,ngrams relationformVERB deprelneg Sidorovbigramsdeprel deprel chargrams Sidorovbigramsform relationformNOUN,0.743,0.708,0.725,0.586,0.627,0.606,0.664,0.668,0.665,0.676,3834,784
italian,LR,deprel relationformNOUN chargrams Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag ngram,0.713,0.568,0.632,0.639,0.770,0.699,0.676,0.669,0.665,0.669,3977,872
italian,LR,deprelneg deprel relationformNOUN chargrams Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag ngram,0.713,0.568,0.632,0.639,0.770,0.699,0.676,0.669,0.665,0.669,3977,872
italian,SVC,relationformADJ deprel ngrams relationformVERB relationformNOUN,0.689,0.609,0.646,0.648,0.724,0.684,0.669,0.666,0.665,0.666,3977,872
italian,RF,ngrams Sidorovbigramsdeprel deprel chargrams relationformNOUN,0.703,0.584,0.638,0.642,0.752,0.693,0.672,0.668,0.665,0.667,3977,872
italian,RF,ngrams Sidorovbigramsform relationformVERB Sidorovbigramsupostag relationformNOUN,0.690,0.606,0.646,0.648,0.726,0.685,0.669,0.666,0.665,0.666,3977,872
italian,LR,relationformNOUN chargrams Sidorovbigramsdeprel Sidorovbigramsupostag,0.703,0.584,0.638,0.642,0.752,0.693,0.672,0.668,0.665,0.667,3977,872
italian,LR,relationformVERB deprel ngram,0.690,0.606,0.646,0.648,0.726,0.685,0.669,0.666,0.665,0.666,3977,872
italian,LR,relationformVERB deprelneg deprel ngram,0.690,0.606,0.646,0.648,0.726,0.685,0.669,0.666,0.665,0.666,3977,872
italian,LR,relationformVERB deprelneg deprel relationformNOUN Sidorovbigramsupostag ngram,0.690,0.606,0.646,0.648,0.726,0.685,0.669,0.666,0.665,0.666,3977,872
english,RF,ngrams deprelneg Sidorovbigramsdeprel Sidorovbigramsupostag chargrams Sidorovbigramsform,0.749,0.689,0.718,0.579,0.650,0.612,0.664,0.669,0.665,0.674,3834,784
english,RF,ngrams Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargrams Sidorovbigramsform,0.749,0.689,0.718,0.579,0.650,0.612,0.664,0.669,0.665,0.674,3834,784
english,RF,ngrams Sidorovbigramsupostag chargrams relationformNOUN,0.746,0.700,0.722,0.582,0.637,0.608,0.664,0.668,0.665,0.675,3834,784
italian,RF,ngrams deprel deprelneg chargrams relationformNOUN,0.691,0.604,0.645,0.647,0.729,0.685,0.669,0.666,0.665,0.666,3977,872
italian,RF,ngrams Sidorovbigramsform deprel relationformVERB Sidorovbigramsupostag chargram,0.704,0.581,0.637,0.642,0.754,0.693,0.673,0.668,0.665,0.667,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel relationformVERB relationformNOUN,0.691,0.604,0.645,0.647,0.729,0.685,0.669,0.666,0.665,0.666,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel deprelneg relationformNOUN,0.691,0.604,0.645,0.647,0.729,0.685,0.669,0.666,0.665,0.666,3977,872
italian,LR,relationformVERB deprel relationformNOUN Sidorovbigramsform relationformADJ Sidorovbigramsupostag ngram,0.692,0.602,0.644,0.646,0.731,0.686,0.669,0.666,0.665,0.666,3977,872
italian,LR,relationformVERB deprelneg chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel,0.704,0.581,0.637,0.642,0.754,0.693,0.673,0.668,0.665,0.667,3977,872
italian,RF,Sidorovbigramsform deprel relationformVERB deprelneg chargram,0.692,0.602,0.644,0.646,0.731,0.686,0.669,0.666,0.665,0.666,3977,872
english,RF,ngrams relationformVERB deprelneg deprel chargrams relationformADJ Sidorovbigramsform relationformNOUN,0.742,0.710,0.726,0.586,0.624,0.604,0.664,0.667,0.665,0.676,3834,784
english,RF,relationformVERB deprelneg deprel chargrams relationformADJ Sidorovbigramsform relationformNOUN,0.742,0.710,0.726,0.586,0.624,0.604,0.664,0.667,0.665,0.676,3834,784
italian,LR,chargrams Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag,0.705,0.579,0.636,0.641,0.756,0.694,0.673,0.668,0.665,0.667,3977,872
italian,LR,relationformVERB chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel,0.705,0.579,0.636,0.641,0.756,0.694,0.673,0.668,0.665,0.667,3977,872
english,RF,ngrams deprelneg deprel chargrams relationformADJ Sidorovbigramsform,0.738,0.721,0.729,0.590,0.611,0.600,0.664,0.666,0.665,0.677,3834,784
italian,LR,relationformVERB deprel chargrams Sidorovbigramsdeprel,0.705,0.579,0.636,0.641,0.756,0.694,0.673,0.668,0.665,0.667,3977,872
english,RF,chargrams relationformADJ,0.748,0.691,0.719,0.579,0.646,0.611,0.664,0.669,0.665,0.674,3834,784
english,RF,deprelneg Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargrams Sidorovbigramsform,0.744,0.702,0.723,0.583,0.633,0.607,0.664,0.668,0.665,0.675,3834,784
english,RF,deprelneg Sidorovbigramsupostag chargrams relationformADJ,0.748,0.691,0.719,0.579,0.646,0.611,0.664,0.669,0.665,0.674,3834,784
italian,RF,ngrams deprel relationformVERB deprelneg,0.657,0.693,0.675,0.674,0.637,0.655,0.666,0.665,0.665,0.665,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform deprel relationformVERB Sidorovbigramsupostag,0.678,0.632,0.654,0.654,0.699,0.676,0.666,0.665,0.665,0.665,3977,872
italian,RF,ngrams deprel relationformVERB deprelneg relationformNOUN,0.655,0.700,0.677,0.677,0.630,0.652,0.666,0.665,0.665,0.665,3977,872
italian,RF,relationformADJ ngrams deprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.694,0.597,0.642,0.645,0.736,0.687,0.670,0.666,0.665,0.666,3977,872
italian,SVC,relationformADJ Sidorovbigramsdeprel deprel deprelneg relationformNOUN Sidorovbigramsform,0.679,0.629,0.653,0.653,0.701,0.676,0.666,0.665,0.665,0.665,3977,872
italian,LR,relationformVERB deprel chargrams Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag,0.706,0.577,0.635,0.641,0.759,0.695,0.673,0.668,0.665,0.667,3977,872
italian,LR,relationformVERB deprelneg deprel chargrams Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag,0.706,0.577,0.635,0.641,0.759,0.695,0.673,0.668,0.665,0.667,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel,0.695,0.595,0.641,0.645,0.738,0.688,0.670,0.666,0.665,0.666,3977,872
italian,RF,relationformADJ Sidorovbigramsupostag chargrams relationformNOUN,0.695,0.595,0.641,0.645,0.738,0.688,0.670,0.666,0.665,0.666,3977,872
italian,LR,relationformVERB chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel ngram,0.707,0.574,0.634,0.640,0.761,0.695,0.674,0.668,0.665,0.667,3977,872
italian,LR,relationformVERB deprel chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel,0.707,0.574,0.634,0.640,0.761,0.695,0.674,0.668,0.665,0.667,3977,872
italian,LR,relationformVERB deprel relationformNOUN chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel,0.707,0.574,0.634,0.640,0.761,0.695,0.674,0.668,0.665,0.667,3977,872
italian,LR,relationformVERB deprelneg deprel chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel,0.707,0.574,0.634,0.640,0.761,0.695,0.674,0.668,0.665,0.667,3977,872
italian,LR,relationformVERB deprelneg deprel relationformNOUN chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel,0.707,0.574,0.634,0.640,0.761,0.695,0.674,0.668,0.665,0.667,3977,872
italian,LR,relationformVERB deprelneg relationformNOUN chargrams Sidorovbigramsform Sidorovbigramsdeprel ngram,0.707,0.574,0.634,0.640,0.761,0.695,0.674,0.668,0.665,0.667,3977,872
italian,LR,relationformVERB relationformNOUN chargrams Sidorovbigramsform Sidorovbigramsdeprel ngram,0.707,0.574,0.634,0.640,0.761,0.695,0.674,0.668,0.665,0.667,3977,872
english,RF,chargrams relationformNOUN,0.743,0.704,0.723,0.583,0.630,0.606,0.663,0.667,0.665,0.675,3834,784
english,LR,deprel relationformNOUN deprelneg ngrams Sidorovbigramsupostag chargrams relationformVERB,0.751,0.683,0.715,0.576,0.656,0.614,0.664,0.669,0.665,0.672,3834,784
english,LR,deprel relationformNOUN ngrams Sidorovbigramsupostag chargrams relationformVERB,0.751,0.683,0.715,0.576,0.656,0.614,0.664,0.669,0.665,0.672,3834,784
english,RF,ngrams deprelneg deprel chargrams Sidorovbigramsform relationformNOUN,0.751,0.683,0.715,0.576,0.656,0.614,0.664,0.669,0.665,0.672,3834,784
english,RF,ngrams deprelneg deprel Sidorovbigramsupostag chargrams Sidorovbigramsform,0.743,0.704,0.723,0.583,0.630,0.606,0.663,0.667,0.665,0.675,3834,784
english,RF,ngrams deprelneg Sidorovbigramsdeprel chargrams relationformADJ Sidorovbigramsform relationformNOUN,0.743,0.704,0.723,0.583,0.630,0.606,0.663,0.667,0.665,0.675,3834,784
italian,RF,ngrams Sidorovbigramsform deprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.696,0.593,0.640,0.644,0.740,0.689,0.670,0.666,0.665,0.666,3977,872
english,RF,ngrams relationformVERB Sidorovbigramsdeprel Sidorovbigramsupostag chargram,0.743,0.704,0.723,0.583,0.630,0.606,0.663,0.667,0.665,0.675,3834,784
english,RF,relationformVERB Sidorovbigramsupostag chargram,0.743,0.704,0.723,0.583,0.630,0.606,0.663,0.667,0.665,0.675,3834,784
italian,RF,ngrams deprelneg chargrams relationformNOUN,0.697,0.590,0.639,0.643,0.743,0.689,0.670,0.666,0.664,0.666,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprelneg chargram,0.697,0.590,0.639,0.643,0.743,0.689,0.670,0.666,0.664,0.666,3977,872
italian,SVC,Sidorovbigramsdeprel deprel deprelneg Sidorovbigramsform,0.684,0.618,0.649,0.650,0.713,0.680,0.667,0.665,0.664,0.665,3977,872
italian,LR,relationformVERB chargrams relationformADJ Sidorovbigramsupostag ngram,0.709,0.570,0.632,0.639,0.766,0.697,0.674,0.668,0.664,0.667,3977,872
english,RF,deprelneg deprel Sidorovbigramsupostag chargrams Sidorovbigramsform relationformNOUN,0.742,0.706,0.724,0.584,0.627,0.605,0.663,0.667,0.664,0.675,3834,784
italian,LR,deprel chargrams Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag ngram,0.711,0.568,0.631,0.639,0.768,0.697,0.675,0.668,0.664,0.667,3977,872
italian,RF,relationformADJ ngrams deprel deprelneg chargram,0.711,0.568,0.631,0.639,0.768,0.697,0.675,0.668,0.664,0.667,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform deprelneg chargrams relationformNOUN,0.700,0.586,0.638,0.642,0.747,0.691,0.671,0.666,0.664,0.666,3977,872
italian,LR,relationformVERB deprel relationformNOUN chargrams relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag ngram,0.711,0.568,0.631,0.639,0.768,0.697,0.675,0.668,0.664,0.667,3977,872
english,RF,ngrams relationformVERB deprelneg Sidorovbigramsupostag chargrams Sidorovbigramsform,0.742,0.706,0.724,0.584,0.627,0.605,0.663,0.667,0.664,0.675,3834,784
italian,LR,relationformVERB deprel relationformNOUN chargrams Sidorovbigramsdeprel Sidorovbigramsupostag ngram,0.711,0.568,0.631,0.639,0.768,0.697,0.675,0.668,0.664,0.667,3977,872
italian,LR,relationformVERB deprelneg deprel relationformNOUN chargrams relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag ngram,0.711,0.568,0.631,0.639,0.768,0.697,0.675,0.668,0.664,0.667,3977,872
italian,LR,relationformVERB deprelneg deprel relationformNOUN chargrams Sidorovbigramsdeprel Sidorovbigramsupostag ngram,0.711,0.568,0.631,0.639,0.768,0.697,0.675,0.668,0.664,0.667,3977,872
italian,LR,relationformVERB deprelneg relationformNOUN chargrams Sidorovbigramsform relationformADJ Sidorovbigramsupostag ngram,0.711,0.568,0.631,0.639,0.768,0.697,0.675,0.668,0.664,0.667,3977,872
italian,SVC,Sidorovbigramsdeprel deprel Sidorovbigramsform,0.686,0.611,0.647,0.648,0.720,0.682,0.667,0.665,0.664,0.665,3977,872
italian,SVC,Sidorovbigramsdeprel Sidorovbigramsupostag deprel ngrams deprelneg relationformVERB Sidorovbigramsform,0.686,0.611,0.647,0.648,0.720,0.682,0.667,0.665,0.664,0.665,3977,872
italian,SVC,Sidorovbigramsdeprel Sidorovbigramsupostag deprel ngrams relationformVERB Sidorovbigramsform,0.686,0.611,0.647,0.648,0.720,0.682,0.667,0.665,0.664,0.665,3977,872
italian,LR,deprelneg chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag,0.701,0.584,0.637,0.642,0.749,0.691,0.671,0.666,0.664,0.666,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel deprel deprelneg chargrams relationformNOUN,0.701,0.584,0.637,0.642,0.749,0.691,0.671,0.666,0.664,0.666,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel deprel deprelneg relationformNOUN,0.687,0.609,0.646,0.647,0.722,0.683,0.667,0.665,0.664,0.665,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel deprel relationformVERB deprelneg relationformNOUN,0.664,0.668,0.666,0.664,0.660,0.662,0.664,0.664,0.664,0.664,3977,872
italian,LR,relationformVERB deprel chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag ngram,0.712,0.565,0.630,0.638,0.770,0.698,0.675,0.668,0.664,0.667,3977,872
italian,LR,relationformVERB deprelneg deprel chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag ngram,0.712,0.565,0.630,0.638,0.770,0.698,0.675,0.668,0.664,0.667,3977,872
italian,LR,relationformVERB deprelneg deprel chargrams Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag ngram,0.712,0.565,0.630,0.638,0.770,0.698,0.675,0.668,0.664,0.667,3977,872
